epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.871,2.0499,1.9986,1.27308,0.67607,0.6539,0.64829,0.29228,1.77248,1.44027,1.166,0.00065942,0.00065942,0.00065942
2,181.437,1.75298,1.04933,1.10972,0.76936,0.68383,0.72649,0.38913,1.60868,0.99588,1.11964,0.00129983,0.00129983,0.00129983
3,219.935,1.66683,0.92764,1.09077,0.78456,0.68511,0.73626,0.40263,1.56913,0.91879,1.12529,0.00191384,0.00191384,0.00191384
4,453.438,1.60717,0.86675,1.07195,0.81307,0.71864,0.77801,0.42084,1.57201,0.88697,1.10424,0.0018812,0.0018812,0.0018812
5,595.599,1.58708,0.85785,1.0647,0.80465,0.73742,0.77441,0.41658,1.54526,0.89076,1.11522,0.0018416,0.0018416,0.0018416
6,622.505,1.56831,0.83486,1.06157,0.81182,0.71168,0.77179,0.42937,1.52773,0.88914,1.09414,0.001802,0.001802,0.001802
7,832.539,1.54205,0.81179,1.04999,0.8261,0.73109,0.7901,0.42835,1.56012,0.82769,1.10682,0.0017624,0.0017624,0.0017624
8,875.963,1.54306,0.80273,1.05066,0.82041,0.76201,0.81162,0.45227,1.49296,0.81503,1.08515,0.0017228,0.0017228,0.0017228
9,908.927,1.52522,0.79067,1.04339,0.82917,0.75535,0.81473,0.44694,1.52318,0.79544,1.10637,0.0016832,0.0016832,0.0016832
10,936.764,1.51791,0.78522,1.04295,0.82477,0.75719,0.8113,0.44865,1.52135,0.82459,1.10716,0.0016436,0.0016436,0.0016436
11,1052.79,1.50268,0.76852,1.03481,0.84131,0.75986,0.8303,0.47149,1.45255,0.78524,1.06882,0.001604,0.001604,0.001604
12,1309.16,1.50672,0.77005,1.03396,0.83499,0.74901,0.80491,0.45934,1.47597,0.78369,1.08526,0.0015644,0.0015644,0.0015644
13,1366.15,1.49139,0.75854,1.03298,0.8477,0.77302,0.82944,0.46681,1.45862,0.77201,1.0784,0.0015248,0.0015248,0.0015248
14,1430.45,1.47969,0.74849,1.02836,0.85666,0.78412,0.83812,0.47708,1.46191,0.74133,1.07355,0.0014852,0.0014852,0.0014852
15,1600.8,1.46493,0.73524,1.02435,0.85142,0.77532,0.83576,0.48306,1.43455,0.73208,1.06912,0.0014456,0.0014456,0.0014456
16,1636.16,1.46301,0.7353,1.02636,0.85948,0.78227,0.84545,0.48157,1.43599,0.73044,1.06995,0.001406,0.001406,0.001406
17,1768.27,1.46307,0.7275,1.02156,0.84057,0.7474,0.8162,0.46038,1.47795,0.77068,1.08024,0.0013664,0.0013664,0.0013664
18,1806.24,1.45528,0.72368,1.02119,0.8494,0.78195,0.84511,0.4823,1.45621,0.73911,1.07174,0.0013268,0.0013268,0.0013268
19,1906.95,1.44513,0.71984,1.01947,0.84614,0.77507,0.84092,0.47441,1.44971,0.7488,1.0684,0.0012872,0.0012872,0.0012872
20,1971.45,1.43928,0.71507,1.01271,0.84592,0.75798,0.83217,0.47744,1.44728,0.74307,1.06756,0.0012476,0.0012476,0.0012476
21,2008.41,1.42919,0.70335,1.0094,0.84587,0.7839,0.84225,0.48577,1.43334,0.7378,1.06709,0.001208,0.001208,0.001208
22,2105.97,1.42916,0.7033,1.01333,0.85534,0.79236,0.84962,0.48598,1.44021,0.70835,1.06744,0.0011684,0.0011684,0.0011684
23,2166.13,1.41555,0.68853,1.00657,0.84991,0.78647,0.83765,0.48464,1.43918,0.72248,1.07325,0.0011288,0.0011288,0.0011288
24,2218.45,1.42049,0.6944,1.00943,0.8499,0.78995,0.84756,0.48874,1.44355,0.71916,1.06709,0.0010892,0.0010892,0.0010892
25,2264.11,1.42286,0.69175,1.00262,0.85529,0.78661,0.84564,0.4826,1.449,0.70608,1.07358,0.0010496,0.0010496,0.0010496
26,2385.76,1.41306,0.68378,1.00099,0.86513,0.79554,0.85081,0.49064,1.44081,0.69341,1.06467,0.00101,0.00101,0.00101
27,2475.02,1.40965,0.68264,0.99925,0.85969,0.78936,0.84976,0.4896,1.43969,0.70826,1.06639,0.0009704,0.0009704,0.0009704
28,2566.51,1.39928,0.66943,0.99667,0.86678,0.78787,0.84965,0.49609,1.4209,0.68802,1.06569,0.0009308,0.0009308,0.0009308
29,3110.05,1.40765,0.67717,1.00144,0.86613,0.79401,0.85399,0.4873,1.46099,0.69811,1.07132,0.0008912,0.0008912,0.0008912
30,3183.3,1.39872,0.67067,0.99535,0.86792,0.79862,0.86001,0.49443,1.43526,0.68947,1.06333,0.0008516,0.0008516,0.0008516
31,3222.56,1.38734,0.66407,0.99324,0.86626,0.78942,0.84221,0.48953,1.4416,0.68611,1.07077,0.000812,0.000812,0.000812
32,3372.96,1.38646,0.66075,0.98966,0.86481,0.79605,0.85372,0.4938,1.4356,0.68175,1.06923,0.0007724,0.0007724,0.0007724
33,3401.08,1.39245,0.66322,0.99681,0.86897,0.80577,0.85735,0.49725,1.42828,0.67771,1.06696,0.0007328,0.0007328,0.0007328
34,3457.78,1.37949,0.65558,0.98658,0.87504,0.8037,0.85789,0.49873,1.42944,0.66639,1.06531,0.0006932,0.0006932,0.0006932
35,3491.51,1.37319,0.6521,0.98829,0.87578,0.79844,0.85469,0.49793,1.423,0.67508,1.06168,0.0006536,0.0006536,0.0006536
36,3538.48,1.37161,0.65316,0.98728,0.87216,0.79576,0.8545,0.49661,1.42638,0.67697,1.06206,0.000614,0.000614,0.000614
37,3573.66,1.36641,0.64579,0.98411,0.87731,0.80538,0.86388,0.50215,1.4256,0.66526,1.06353,0.0005744,0.0005744,0.0005744
38,3604.4,1.36216,0.6441,0.98669,0.8741,0.81283,0.86611,0.50289,1.42452,0.6663,1.06495,0.0005348,0.0005348,0.0005348
39,3675.96,1.36163,0.64021,0.98303,0.87042,0.80406,0.86161,0.50012,1.42176,0.6707,1.06145,0.0004952,0.0004952,0.0004952
40,3700.32,1.35325,0.63731,0.98107,0.87428,0.79786,0.85575,0.49873,1.43354,0.66417,1.06594,0.0004556,0.0004556,0.0004556
41,3746.43,1.33927,0.63314,0.9961,0.86814,0.80172,0.85595,0.49788,1.42888,0.6798,1.06509,0.000416,0.000416,0.000416
