epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16818,2.8629,3.73861,2.47123,0.71048,0.6752,0.68696,0.36994,1.51122,1.25311,1.265,0.00052,0.00052,0.00052
2,11.983,1.75918,1.36289,1.50187,0.80355,0.70004,0.76113,0.46401,1.36175,0.91456,1.16161,0.00103901,0.00103901,0.00103901
3,17.1212,1.54369,1.11853,1.38729,0.80746,0.80157,0.8457,0.53346,1.24758,0.90643,1.11896,0.00153664,0.00153664,0.00153664
4,22.0002,1.4233,1.04815,1.3435,0.85096,0.8488,0.9109,0.5946,1.17763,0.83896,1.09228,0.0018812,0.0018812,0.0018812
5,26.9382,1.37132,1.02116,1.31287,0.8539,0.85063,0.89728,0.60034,1.11877,0.82256,1.10551,0.0018416,0.0018416,0.0018416
6,31.8377,1.29909,0.93903,1.26078,0.84762,0.88507,0.91914,0.63182,1.14574,0.86236,1.06368,0.001802,0.001802,0.001802
7,36.6324,1.33414,0.95653,1.28028,0.88583,0.83011,0.923,0.60761,1.13038,0.77789,1.09085,0.0017624,0.0017624,0.0017624
8,41.4864,1.24807,0.90789,1.22698,0.88729,0.85557,0.93611,0.62672,1.13479,0.78695,1.06964,0.0017228,0.0017228,0.0017228
9,46.0493,1.22993,0.88429,1.24727,0.88178,0.88882,0.9386,0.64364,1.11245,0.74521,1.07595,0.0016832,0.0016832,0.0016832
10,50.5506,1.1893,0.85359,1.20755,0.89617,0.89944,0.95401,0.65763,1.11107,0.7156,1.03395,0.0016436,0.0016436,0.0016436
11,55.3503,1.19485,0.85629,1.20043,0.86656,0.90319,0.94297,0.64151,1.12422,0.74061,1.03731,0.001604,0.001604,0.001604
12,59.7785,1.19,0.84619,1.20918,0.85203,0.90881,0.94351,0.64323,1.09644,0.74333,1.03571,0.0015644,0.0015644,0.0015644
13,64.2928,1.12674,0.80435,1.18562,0.8803,0.93254,0.9553,0.65866,1.05418,0.724,1.03053,0.0015248,0.0015248,0.0015248
14,69.0418,1.14204,0.78267,1.1923,0.89853,0.91505,0.94828,0.66117,1.06688,0.69489,1.02758,0.0014852,0.0014852,0.0014852
15,73.8228,1.09947,0.76585,1.17544,0.90392,0.90506,0.96044,0.67624,1.00676,0.68536,1.00427,0.0014456,0.0014456,0.0014456
16,78.2514,1.10979,0.75237,1.15282,0.90269,0.91543,0.95515,0.67633,1.02719,0.70773,1.02966,0.001406,0.001406,0.001406
17,82.7846,1.06551,0.7348,1.1405,0.91419,0.91834,0.96147,0.6786,1.04972,0.69523,1.02199,0.0013664,0.0013664,0.0013664
18,87.3039,1.0278,0.72633,1.1313,0.90509,0.92925,0.95728,0.69838,0.95982,0.65917,0.99446,0.0013268,0.0013268,0.0013268
19,91.6608,1.03289,0.7279,1.1438,0.90911,0.91836,0.95814,0.68008,0.99812,0.67886,1.0104,0.0012872,0.0012872,0.0012872
20,96.0593,1.03012,0.71792,1.13672,0.88419,0.91755,0.94502,0.68401,1.01829,0.69132,1.00455,0.0012476,0.0012476,0.0012476
21,100.466,1.0238,0.70964,1.10822,0.90932,0.92076,0.95235,0.69116,1.009,0.70694,1.03785,0.001208,0.001208,0.001208
22,104.892,1.03531,0.73448,1.14019,0.8889,0.9395,0.96166,0.69446,1.00733,0.66677,1.02277,0.0011684,0.0011684,0.0011684
23,109.804,1.01696,0.70055,1.1181,0.90846,0.91255,0.95996,0.70273,0.95467,0.64824,0.98335,0.0011288,0.0011288,0.0011288
24,114.347,0.97983,0.68409,1.11498,0.90968,0.92942,0.96334,0.69095,1.01323,0.64263,0.9897,0.0010892,0.0010892,0.0010892
25,118.611,0.99849,0.68801,1.10883,0.93713,0.92255,0.97177,0.70808,1.00681,0.62742,0.98816,0.0010496,0.0010496,0.0010496
26,123.118,0.98565,0.67551,1.09963,0.91682,0.93192,0.96144,0.68752,1.01921,0.66462,1.00461,0.00101,0.00101,0.00101
27,127.483,0.96489,0.66557,1.10007,0.92691,0.93567,0.96655,0.70458,0.9324,0.62983,0.99855,0.0009704,0.0009704,0.0009704
28,131.897,0.9623,0.65842,1.08692,0.91547,0.92692,0.96278,0.70682,0.94815,0.64296,0.98835,0.0009308,0.0009308,0.0009308
29,136.388,0.95562,0.65234,1.08996,0.90635,0.92692,0.95739,0.71855,0.94252,0.64665,0.98874,0.0008912,0.0008912,0.0008912
30,140.805,0.94632,0.63072,1.07559,0.90945,0.94129,0.96009,0.70564,0.96876,0.64645,0.99385,0.0008516,0.0008516,0.0008516
31,145.352,0.94839,0.63315,1.06453,0.92546,0.92285,0.961,0.70334,0.97157,0.63979,0.99533,0.000812,0.000812,0.000812
32,150.147,0.94225,0.62979,1.0728,0.92291,0.91973,0.96308,0.70082,0.94256,0.62868,0.9904,0.0007724,0.0007724,0.0007724
33,154.741,0.94461,0.62951,1.08059,0.91399,0.93192,0.95176,0.67464,1.07345,0.67774,1.00528,0.0007328,0.0007328,0.0007328
34,159.202,0.94206,0.62512,1.08351,0.92394,0.93067,0.96294,0.72137,0.89967,0.60932,0.96092,0.0006932,0.0006932,0.0006932
35,163.73,0.90119,0.61423,1.06213,0.91941,0.92879,0.94897,0.71653,0.92676,0.62638,0.98091,0.0006536,0.0006536,0.0006536
36,168.064,0.88407,0.60178,1.0522,0.91844,0.93004,0.95622,0.71063,0.94478,0.61444,1.01018,0.000614,0.000614,0.000614
37,172.479,0.88789,0.60543,1.04973,0.93508,0.92942,0.95888,0.71412,0.93606,0.59967,0.98518,0.0005744,0.0005744,0.0005744
38,176.86,0.9091,0.62072,1.07945,0.93835,0.93171,0.95858,0.71855,0.91223,0.59558,0.98226,0.0005348,0.0005348,0.0005348
39,181.211,0.88744,0.60961,1.06564,0.9322,0.93379,0.95901,0.72075,0.92831,0.60976,0.98852,0.0004952,0.0004952,0.0004952
