epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.302,1.77355,1.30481,1.14404,0.79901,0.73321,0.77856,0.41887,1.5631,0.8541,1.09482,0.000665362,0.000665362,0.000665362
2,941.063,1.55966,0.82863,1.05709,0.83292,0.74054,0.79682,0.45764,1.46252,0.79972,1.05853,0.00130565,0.00130565,0.00130565
3,1197.27,1.52612,0.79881,1.04873,0.83735,0.74194,0.80862,0.46277,1.45249,0.77772,1.06445,0.00191955,0.00191955,0.00191955
4,1385.61,1.5016,0.77036,1.04096,0.83253,0.73799,0.80706,0.46131,1.45018,0.76961,1.06083,0.0018812,0.0018812,0.0018812
5,1641.7,1.48853,0.7543,1.03425,0.86027,0.78734,0.84914,0.49594,1.41598,0.71616,1.04416,0.0018416,0.0018416,0.0018416
6,2021.36,1.47879,0.74003,1.02948,0.86595,0.7723,0.83986,0.49461,1.39632,0.71927,1.03947,0.001802,0.001802,0.001802
7,3374.07,1.46125,0.72558,1.0256,0.86931,0.79232,0.85493,0.50349,1.39939,0.69476,1.04033,0.0017624,0.0017624,0.0017624
8,4859.01,1.46016,0.71822,1.02273,0.8666,0.78746,0.84946,0.50053,1.39929,0.69687,1.04049,0.0017228,0.0017228,0.0017228
9,5163.45,1.44715,0.70889,1.01908,0.8732,0.79401,0.85833,0.50715,1.38412,0.68738,1.03472,0.0016832,0.0016832,0.0016832
10,5424.52,1.44495,0.70552,1.01578,0.87398,0.80319,0.86629,0.51461,1.37577,0.67599,1.03202,0.0016436,0.0016436,0.0016436
11,6378.19,1.43646,0.69633,1.01376,0.87552,0.80171,0.86627,0.51466,1.3773,0.67661,1.03286,0.001604,0.001604,0.001604
12,6814.26,1.43141,0.69122,1.01237,0.87641,0.79887,0.8657,0.51619,1.36497,0.66966,1.02849,0.0015644,0.0015644,0.0015644
13,7467.53,1.43091,0.68698,1.00932,0.8785,0.81195,0.87015,0.52168,1.36642,0.64847,1.02978,0.0015248,0.0015248,0.0015248
14,7717.16,1.42369,0.68052,1.00911,0.88026,0.81167,0.8711,0.52065,1.36473,0.65326,1.02985,0.0014852,0.0014852,0.0014852
15,8224.89,1.41627,0.6773,1.00756,0.88081,0.81009,0.87265,0.52551,1.35589,0.64948,1.02381,0.0014456,0.0014456,0.0014456
16,9383.55,1.41734,0.6756,1.00784,0.88163,0.81575,0.87811,0.52712,1.35693,0.63966,1.02378,0.001406,0.001406,0.001406
17,9610.36,1.41211,0.67174,1.00613,0.88461,0.81369,0.87307,0.52746,1.35114,0.64172,1.02317,0.0013664,0.0013664,0.0013664
18,9914.19,1.40737,0.66617,1.00451,0.8874,0.81606,0.87486,0.5283,1.35005,0.63642,1.02417,0.0013268,0.0013268,0.0013268
19,10246.5,1.40672,0.66545,1.00463,0.88592,0.82227,0.88174,0.53102,1.34925,0.63039,1.02442,0.0012872,0.0012872,0.0012872
20,10465.5,1.39896,0.66126,1.00327,0.88771,0.82196,0.88372,0.53247,1.3496,0.62786,1.0204,0.0012476,0.0012476,0.0012476
21,10880.9,1.3957,0.65555,1.00002,0.88385,0.82367,0.88233,0.53276,1.34953,0.62953,1.02171,0.001208,0.001208,0.001208
22,11415.4,1.39902,0.65466,0.99969,0.88835,0.82431,0.88395,0.5358,1.34169,0.62669,1.01753,0.0011684,0.0011684,0.0011684
23,11609,1.39353,0.65352,0.99855,0.88673,0.82298,0.88408,0.53503,1.33916,0.62713,1.01671,0.0011288,0.0011288,0.0011288
24,11818,1.39181,0.65121,0.99553,0.8928,0.82472,0.88581,0.53802,1.33418,0.61528,1.01801,0.0010892,0.0010892,0.0010892
25,12009.9,1.39008,0.64878,0.99742,0.89207,0.82604,0.88653,0.53815,1.33767,0.61204,1.01878,0.0010496,0.0010496,0.0010496
26,12247.8,1.38996,0.64643,0.9965,0.89213,0.82314,0.88444,0.53739,1.33523,0.61315,1.01896,0.00101,0.00101,0.00101
27,12667.9,1.38813,0.64362,0.99584,0.89369,0.82855,0.88711,0.54095,1.3337,0.60981,1.01697,0.0009704,0.0009704,0.0009704
28,13059.6,1.38395,0.64195,0.99456,0.89158,0.82807,0.88558,0.53914,1.33478,0.61243,1.01778,0.0009308,0.0009308,0.0009308
29,14241.2,1.38028,0.63872,0.99548,0.89095,0.82905,0.88757,0.54134,1.32926,0.61113,1.01328,0.0008912,0.0008912,0.0008912
30,14423.3,1.38118,0.63885,0.99457,0.892,0.8329,0.88773,0.54069,1.33588,0.6077,1.01646,0.0008516,0.0008516,0.0008516
31,14712.5,1.38096,0.63598,0.99271,0.89369,0.83115,0.88898,0.54358,1.32823,0.6033,1.01397,0.000812,0.000812,0.000812
32,14953.3,1.37934,0.63482,0.99302,0.89517,0.83249,0.88868,0.54421,1.32772,0.60192,1.01413,0.0007724,0.0007724,0.0007724
33,15202,1.3739,0.63177,0.99308,0.89693,0.83267,0.89461,0.54612,1.32549,0.59878,1.01347,0.0007328,0.0007328,0.0007328
34,15600.2,1.36797,0.62748,0.98979,0.89619,0.83326,0.89513,0.54541,1.32774,0.59947,1.01271,0.0006932,0.0006932,0.0006932
35,15976.7,1.37271,0.62882,0.99023,0.8982,0.83352,0.89534,0.54644,1.32434,0.59745,1.01243,0.0006536,0.0006536,0.0006536
36,16138.5,1.36932,0.62595,0.98909,0.89491,0.83485,0.89512,0.54643,1.32413,0.59595,1.01176,0.000614,0.000614,0.000614
37,16379.1,1.36873,0.62553,0.98868,0.89668,0.83572,0.8958,0.54793,1.32236,0.59513,1.01203,0.0005744,0.0005744,0.0005744
38,16586.8,1.36549,0.62157,0.98891,0.89669,0.8359,0.89609,0.54741,1.32283,0.59419,1.01167,0.0005348,0.0005348,0.0005348
39,16867.8,1.36485,0.62124,0.98668,0.89798,0.83647,0.89702,0.54851,1.32292,0.59162,1.01159,0.0004952,0.0004952,0.0004952
40,17075.1,1.36016,0.61739,0.98801,0.89716,0.83615,0.89624,0.54886,1.31995,0.58993,1.01116,0.0004556,0.0004556,0.0004556
41,17241.3,1.34516,0.60821,1.00597,0.8957,0.837,0.89651,0.54815,1.32072,0.59277,1.01141,0.000416,0.000416,0.000416
42,17395.6,1.34305,0.60386,1.00649,0.89728,0.83857,0.89749,0.54924,1.3194,0.58905,1.01,0.0003764,0.0003764,0.0003764
43,17562.3,1.34103,0.60097,1.00538,0.89628,0.83995,0.89758,0.54965,1.31917,0.58834,1.01009,0.0003368,0.0003368,0.0003368
44,17700.6,1.33919,0.59832,1.0034,0.89851,0.83902,0.89818,0.55127,1.31731,0.58666,1.00935,0.0002972,0.0002972,0.0002972
45,17844.6,1.33716,0.59535,1.00196,0.89965,0.83925,0.89853,0.55144,1.31654,0.58541,1.00967,0.0002576,0.0002576,0.0002576
46,17989.1,1.33432,0.59424,1.00205,0.89855,0.84149,0.89901,0.55217,1.31491,0.58467,1.00872,0.000218,0.000218,0.000218
47,18288.9,1.3311,0.5894,0.99947,0.89914,0.83938,0.89864,0.55233,1.31523,0.58394,1.00934,0.0001784,0.0001784,0.0001784
48,18439.6,1.32944,0.58826,1.00068,0.89938,0.84056,0.89905,0.55212,1.31536,0.58165,1.00898,0.0001388,0.0001388,0.0001388
