epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.588,1.84095,1.30071,1.23915,0.75934,0.69493,0.72958,0.38927,1.57197,1.05059,1.14315,0.00065942,0.00065942,0.00065942
2,528.737,1.58489,0.82974,1.09298,0.81987,0.73208,0.79277,0.4459,1.49895,0.80319,1.12776,0.00131733,0.00131733,0.00131733
3,748.355,1.54825,0.80721,1.07875,0.82998,0.76665,0.82065,0.43956,1.53404,0.8415,1.13421,0.00196645,0.00196645,0.00196645
4,967.041,1.53688,0.77932,1.06895,0.83817,0.75879,0.82595,0.46333,1.48706,0.78205,1.10321,0.0019604,0.0019604,0.0019604
5,1130.82,1.49964,0.75352,1.05281,0.82625,0.76217,0.8109,0.45366,1.47724,0.7812,1.10827,0.0019472,0.0019472,0.0019472
6,1193.67,1.47825,0.73708,1.04496,0.83256,0.75928,0.81804,0.46854,1.4525,0.76396,1.08903,0.001934,0.001934,0.001934
7,1354.43,1.46,0.72378,1.03345,0.85551,0.787,0.84642,0.4798,1.45857,0.7245,1.09247,0.0019208,0.0019208,0.0019208
8,1559.73,1.45986,0.71401,1.03544,0.85409,0.78089,0.84101,0.4827,1.4381,0.72575,1.08166,0.0019076,0.0019076,0.0019076
9,1618.39,1.43609,0.70436,1.02607,0.8647,0.79552,0.8592,0.50069,1.41898,0.70175,1.07611,0.0018944,0.0018944,0.0018944
10,1690.48,1.4237,0.69793,1.02233,0.87134,0.79592,0.86041,0.49284,1.43023,0.69604,1.08042,0.0018812,0.0018812,0.0018812
11,1774.83,1.41481,0.68418,1.01641,0.86892,0.79834,0.85428,0.49728,1.41642,0.68199,1.06988,0.001868,0.001868,0.001868
12,1895.53,1.41814,0.68819,1.01525,0.86818,0.79398,0.85624,0.5007,1.40962,0.69029,1.07046,0.0018548,0.0018548,0.0018548
13,2076.32,1.40413,0.67324,1.01288,0.86618,0.80933,0.86342,0.50144,1.4132,0.67771,1.0747,0.0018416,0.0018416,0.0018416
14,2180.74,1.40064,0.67008,1.0117,0.87257,0.80047,0.85357,0.49735,1.42306,0.67758,1.08056,0.0018284,0.0018284,0.0018284
15,2522.62,1.37669,0.6522,1.00443,0.87043,0.80278,0.86298,0.4991,1.43279,0.68997,1.07906,0.0018152,0.0018152,0.0018152
16,2580.56,1.37513,0.65226,1.00588,0.87706,0.80859,0.86827,0.508,1.4061,0.66419,1.07513,0.001802,0.001802,0.001802
17,2762.69,1.37109,0.64405,0.99999,0.87218,0.80004,0.85624,0.5037,1.4075,0.66472,1.07445,0.0017888,0.0017888,0.0017888
18,2838.37,1.36694,0.64188,0.99958,0.86542,0.80051,0.8623,0.50232,1.42342,0.67464,1.07172,0.0017756,0.0017756,0.0017756
19,2981.32,1.35656,0.63844,0.99944,0.87263,0.80142,0.86165,0.50009,1.41369,0.68356,1.07302,0.0017624,0.0017624,0.0017624
20,3054.18,1.35225,0.63216,0.9933,0.86307,0.79796,0.85397,0.49561,1.4272,0.68271,1.07911,0.0017492,0.0017492,0.0017492
21,3199.44,1.34326,0.62514,0.98999,0.8836,0.81159,0.87112,0.5107,1.41686,0.64844,1.07403,0.001736,0.001736,0.001736
22,3376.55,1.33628,0.6197,0.99078,0.87476,0.81085,0.86564,0.50298,1.41674,0.6572,1.07627,0.0017228,0.0017228,0.0017228
23,3471.28,1.32648,0.60991,0.98682,0.87489,0.80752,0.86701,0.50704,1.41475,0.6565,1.07073,0.0017096,0.0017096,0.0017096
24,3548.39,1.33057,0.61616,0.98999,0.88296,0.81529,0.87638,0.51191,1.41067,0.64894,1.07183,0.0016964,0.0016964,0.0016964
25,3816.08,1.34079,0.61952,0.98244,0.88169,0.80103,0.86259,0.50398,1.41511,0.65528,1.07031,0.0016832,0.0016832,0.0016832
26,3969.18,1.3246,0.60497,0.97991,0.87989,0.81922,0.86924,0.51024,1.41214,0.64873,1.07156,0.00167,0.00167,0.00167
27,4064.39,1.30971,0.5987,0.97592,0.8805,0.82103,0.87198,0.51138,1.40895,0.64986,1.0712,0.0016568,0.0016568,0.0016568
28,4242.6,1.30996,0.59852,0.97645,0.88385,0.81701,0.87132,0.51348,1.41363,0.63542,1.07481,0.0016436,0.0016436,0.0016436
29,4455.52,1.31238,0.60006,0.9799,0.87765,0.81871,0.86746,0.50572,1.42546,0.64084,1.08157,0.0016304,0.0016304,0.0016304
30,4592.47,1.30546,0.59633,0.97349,0.88121,0.81463,0.86863,0.51031,1.42213,0.64604,1.07443,0.0016172,0.0016172,0.0016172
31,4653.26,1.28786,0.58793,0.97077,0.87837,0.8181,0.87071,0.51049,1.41641,0.63922,1.079,0.001604,0.001604,0.001604
32,4965.26,1.28993,0.58645,0.96683,0.88356,0.8184,0.87007,0.51123,1.41602,0.63235,1.07512,0.0015908,0.0015908,0.0015908
33,5038.09,1.29271,0.58828,0.97198,0.87816,0.82693,0.87461,0.51047,1.42179,0.63785,1.07789,0.0015776,0.0015776,0.0015776
34,5113.24,1.27842,0.57597,0.9627,0.88806,0.81839,0.86844,0.5088,1.42506,0.62886,1.08095,0.0015644,0.0015644,0.0015644
35,5218.79,1.26801,0.57192,0.96306,0.87715,0.82061,0.86918,0.50837,1.42096,0.6381,1.07724,0.0015512,0.0015512,0.0015512
36,5341.18,1.26347,0.57173,0.9624,0.8826,0.81522,0.86717,0.50876,1.42943,0.63787,1.08717,0.001538,0.001538,0.001538
37,5392.35,1.27339,0.57541,0.96344,0.88112,0.8212,0.87065,0.50952,1.42721,0.63389,1.0804,0.0015248,0.0015248,0.0015248
38,5471.03,1.26547,0.57251,0.96578,0.87628,0.82569,0.86972,0.50741,1.4319,0.63214,1.08355,0.0015116,0.0015116,0.0015116
39,5642.34,1.25927,0.56786,0.96,0.88487,0.82704,0.87874,0.51531,1.41754,0.61868,1.07219,0.0014984,0.0014984,0.0014984
40,5710.59,1.24808,0.56281,0.95678,0.88412,0.81128,0.86156,0.5061,1.42539,0.6347,1.08235,0.0014852,0.0014852,0.0014852
41,5766.02,1.2566,0.56869,0.95829,0.8863,0.82037,0.87134,0.50886,1.43208,0.62598,1.08446,0.001472,0.001472,0.001472
42,5914.85,1.23163,0.55863,0.95345,0.87953,0.82183,0.86868,0.50649,1.43402,0.63353,1.09231,0.0014588,0.0014588,0.0014588
43,6097.1,1.23983,0.5581,0.95445,0.88096,0.82591,0.86781,0.50728,1.43548,0.63173,1.09146,0.0014456,0.0014456,0.0014456
44,6143,1.22988,0.55354,0.95044,0.88193,0.82011,0.87168,0.50897,1.42932,0.63553,1.0841,0.0014324,0.0014324,0.0014324
45,6223.66,1.22688,0.54896,0.94934,0.88279,0.82914,0.8705,0.50547,1.43655,0.62771,1.09431,0.0014192,0.0014192,0.0014192
46,6340.35,1.22354,0.54758,0.9501,0.88133,0.82314,0.86559,0.50309,1.43836,0.62874,1.09269,0.001406,0.001406,0.001406
